Date,Time,Open,High,Low,Close,Volume
01/03/2025,10:15 AM,8.88,9.12,8.01,8.1575,109889
01/03/2025,10:30 AM,8.02,8.2325,7.5,7.83,216004
01/03/2025,10:45 AM,7.83,8.23,7.6,8.06,64704
01/03/2025,11:00 AM,8.1463,8.5,7.86,8.4899,35307
01/03/2025,11:15 AM,8.4532,8.6878,8.3,8.63,26487
01/03/2025,11:30 AM,8.595,8.64,8.33,8.5,36281
01/03/2025,11:45 AM,8.45,8.62,8.22,8.355,35880
01/03/2025,12:00 PM,8.4039,8.4039,8.1,8.1,13348
01/03/2025,12:15 PM,8.235,8.25,8.04,8.1999,8951
01/03/2025,12:30 PM,8.13,8.31,8.1,8.1,10258
01/03/2025,12:45 PM,8.16,8.4,8.1,8.4,12556
01/03/2025,1:00 PM,8.4,8.43,8.22,8.35,17120
01/03/2025,1:15 PM,8.28,8.3,7.9,7.9694,47676
01/03/2025,1:30 PM,7.94,7.94,7.8,7.825,36962
01/03/2025,1:45 PM,7.84,8,7.7801,7.95,13728
01/03/2025,2:00 PM,7.9999,7.9999,7.81,7.81,6879
01/03/2025,2:15 PM,7.8,7.85,7.75,7.8216,17819
01/03/2025,2:30 PM,7.8291,8.17,7.8291,8.081,24295
01/03/2025,2:45 PM,8.14,8.25,8.11,8.2499,20085
01/03/2025,3:00 PM,8.25,8.4,8.15,8.4,17702
01/03/2025,3:15 PM,8.24,8.25,8.1,8.23,6240
01/03/2025,3:30 PM,8.2882,8.5,8.2301,8.401,57492
01/03/2025,3:45 PM,8.41,8.5,8.28,8.4994,44822
01/03/2025,4:00 PM,8.5,8.5,8.31,8.4,27350
01/06/2025,9:45 AM,7.8,9.2,7.8,9,392489
01/06/2025,10:00 AM,8.92,9.44,8.61,9.35,216676
01/06/2025,10:15 AM,9.36,9.62,9.25,9.5,306574
01/06/2025,10:30 AM,9.53,9.79,8.9,9.12,358123
01/06/2025,10:45 AM,9.3,9.3,8.27,8.4101,107134
01/06/2025,11:00 AM,8.4782,8.59,7.86,7.9,108687
01/06/2025,11:15 AM,7.938,8.26,7.7,7.9,88172
01/06/2025,11:30 AM,7.8746,8.88,7.635,8.4199,124016
01/06/2025,11:45 AM,8.4,8.4392,8.1713,8.1763,23492
01/06/2025,12:00 PM,8.3,8.4,8.18,8.18,12983
01/06/2025,12:15 PM,8.12,8.27,7.75,7.81,85750
01/06/2025,12:30 PM,7.9,7.93,7.68,7.85,62647
01/06/2025,12:45 PM,7.91,8.11,7.84,8.1,37390
01/06/2025,1:00 PM,8.085,8.19,8.0501,8.1816,11627
01/06/2025,1:15 PM,8.19,8.3892,8.1,8.38,13649
01/06/2025,1:30 PM,8.39,8.4375,8.32,8.32,7343
01/06/2025,1:45 PM,8.34,8.39,8.28,8.315,6605
01/06/2025,2:00 PM,8.32,8.38,8.1,8.1,31615
01/06/2025,2:15 PM,8.11,8.45,8.1,8.45,53050
01/06/2025,2:30 PM,8.44,8.88,8.44,8.72,41076
01/06/2025,2:45 PM,8.7297,8.74,8.4966,8.64,36447
01/06/2025,3:00 PM,8.62,8.7,8.5,8.5,14166
01/06/2025,3:15 PM,8.5,8.74,8.4701,8.7,22130
01/06/2025,3:30 PM,8.7,8.7691,8.56,8.71,22225
01/06/2025,3:45 PM,8.71,8.77,8.65,8.6543,24737
01/06/2025,4:00 PM,8.621,8.63,8.31,8.37,39412
01/07/2025,9:45 AM,8.8,8.8,7.81,8.5797,102410
01/07/2025,10:00 AM,8.6,8.73,7.5,7.65,114707
01/07/2025,10:15 AM,7.59,7.87,7.18,7.7349,82556
01/07/2025,10:30 AM,7.6807,7.8,7.53,7.665,14142
01/07/2025,10:45 AM,7.63,7.6794,7.44,7.61,39524
01/07/2025,11:00 AM,7.59,7.6799,7.43,7.55,18691
01/07/2025,11:15 AM,7.5699,7.68,7.3701,7.6519,28278
01/07/2025,11:30 AM,7.68,8.005,7.57,8,41954
01/07/2025,11:45 AM,7.8701,7.99,7.77,7.88,26271
01/07/2025,12:00 PM,7.82,7.97,7.51,7.68,22763
01/07/2025,12:15 PM,7.6,7.89,7.55,7.67,4893
01/07/2025,12:30 PM,7.74,7.74,7.59,7.5971,3781
01/07/2025,12:45 PM,7.6101,7.7,7.58,7.67,16864
01/07/2025,1:00 PM,7.67,7.7,7.5,7.7,51556
01/07/2025,1:15 PM,7.7,7.8,7.61,7.8,10963
01/07/2025,1:30 PM,7.84,7.9,7.75,7.8557,8088
01/07/2025,1:45 PM,7.795,7.8778,7.7101,7.815,10346
01/07/2025,2:00 PM,7.82,7.85,7.7,7.71,3730
01/07/2025,2:15 PM,7.75,8.04,7.75,7.99,29221
01/07/2025,2:30 PM,7.9,8.14,7.9,7.9301,18586
01/07/2025,2:45 PM,7.97,8.12,7.76,7.85,50214
01/07/2025,3:00 PM,7.85,7.88,7.76,7.85,34822
01/07/2025,3:15 PM,7.78,7.78,7.72,7.75,5799
01/07/2025,3:30 PM,7.78,7.78,7.72,7.75,5799
01/07/2025,3:45 PM,7.78,7.78,7.72,7.75,5799
01/07/2025,4:00 PM,7.78,7.78,7.72,7.75,5799
"The data and information in this spreadsheet is provided to you solely for"
"your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor"
"should it be construed as an offer to sell, a solicitation of an offer to buy"
"or a recommendation for any security by Fidelity or any third party. Data"
"and information shown is based on information known to Fidelity as of"
"the date it was exported and is subject to change. It should not be used in"
"place of your account statements or trade confirmations and is not"
"intended for tax reporting purposes. For more information on the data"
"included in this spreadsheet, including any limitations thereof, go to"
"Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC, 900"
"Salem Street, Smithfield, RI 02917. Custody and other services provided"
"by National Financial Services LLC. Both are Fidelity Investment"
"companies and members SIPC, NYSE."

Date downloaded 01/07/2025 03:02 PM
